"","gauge","basin","status"
"1",11186000,"sj","impaired"
"2",11189500,"sj","impaired"
"3",11192500,"sj","impaired"
"4",11192501,"sj","impaired"
"5",11202001,"sj","unimpaired"
"6",11214600,"sj","impaired"
"7",11215000,"sj","impaired"
"8",11218400,"sj","impaired"
"9",11224500,"sj","unimpaired"
"10",11230500,"sj","unimpaired"
"11",11234760,"sj","impaired"
"12",11237500,"sj","unimpaired"
"13",11242000,"sj","impaired"
"14",11246500,"sj","impaired"
"15",11251000,"sj","impaired"
"16",11261500,"sj","impaired"
"17",11264500,"sj","unimpaired"
"18",11266500,"sj","unimpaired"
"19",11270900,"sj","impaired"
"20",11274000,"sj","impaired"
"21",11274500,"sj","unimpaired"
"22",11274630,"sj","unimpaired"
"23",11276500,"sj","impaired"
"24",11277300,"sj","impaired"
"25",11278300,"sj","impaired"
"26",11290000,"sj","impaired"
"27",11292000,"sj","impaired"
"28",11292700,"sj","impaired"
"29",11292900,"sj","impaired"
"30",11294000,"sj","impaired"
"31",11294500,"sj","impaired"
"32",11296500,"sj","impaired"
"33",11298000,"sj","impaired"
"34",11302000,"sj","impaired"
"35",11303000,"sj","impaired"
"36",11303500,"sj","impaired"
"37",11314500,"sj","impaired"
"38",11315000,"sj","unimpaired"
"39",11316800,"sj","unimpaired"
"40",11317000,"sj","impaired"
"41",11318500,"sj","impaired"
"42",11319500,"sj","impaired"
"43",11323500,"sj","impaired"
"44",11325500,"sj","impaired"
"45",11335000,"sj","impaired"
"46",11370500,"sac","impaired"
"47",11372000,"sac","impaired"
"48",11374000,"sac","impaired"
"49",11376000,"sac","impaired"
"50",11376550,"sac","impaired"
"51",11377100,"sac","impaired"
"52",11379500,"sac","impaired"
"53",11381500,"sac","unimpaired"
"54",11383500,"sac","unimpaired"
"55",11389500,"sac","impaired"
"56",11390000,"sac","impaired"
"57",11390500,"sac","impaired"
"58",11395030,"sac","impaired"
"59",11395200,"sac","impaired"
"60",11396000,"sac","impaired"
"61",11396200,"sac","impaired"
"62",11399500,"sac","impaired"
"63",11400500,"sac","impaired"
"64",11402000,"sac","impaired"
"65",11404500,"sac","impaired"
"66",11407000,"sac","impaired"
"67",11413000,"sac","impaired"
"68",11416500,"sac","impaired"
"69",11417500,"sac","impaired"
"70",11418500,"sac","impaired"
"71",11421000,"sac","impaired"
"72",11424000,"sac","impaired"
"73",11425500,"sac","impaired"
"74",11427000,"sac","impaired"
"75",11427500,"sac","impaired"
"76",11427700,"sac","unimpaired"
"77",11429500,"sac","impaired"
"78",11430000,"sac","impaired"
"79",11433300,"sac","impaired"
"80",11436000,"sac","impaired"
"81",11439500,"sac","impaired"
"82",11439501,"sac","impaired"
"83",11441500,"sac","impaired"
"84",11441900,"sac","impaired"
"85",11443500,"sac","impaired"
"86",11444500,"sac","impaired"
"87",11446500,"sac","impaired"
"88",11447650,"sac","impaired"
"89",11449500,"sac","impaired"
"90",11451000,"sac","impaired"
"91",11452500,"sac","impaired"
"92",11453500,"sac","impaired"
"93",11454000,"sac","impaired"
