FID,agency_cd,site_no,station_nm,dec_lat_va,dec_long_v,library(dplyr),,,,
0,USGS,11276500,TUOLUMNE R NR HETCH HETCHY CA,37.93742,-119.7982326,"library(ggplot2) #must be most recent version of ggplot2, otherwise captions dont render",,,,
1,USGS,11377100,SACRAMENTO R AB BEND BRIDGE NR RED BLUFF CA,40.28849,-122.1866645,library(grid),,,,
2,USGS,11446500,AMERICAN R A FAIR OAKS CA,38.63546,-121.2277262,,,,,
3,USGS,11370500,SACRAMENTO R A KESWICK CA,40.60098,-122.4444553,## where to look for files,,,,
4,USGS,11439501,SF AMERICAN R NR KYBURZ TOTAL FLOW CA,38.76352,-120.3285276,"inpath <- c(""C:/Users/Rachel/Documents/"")",,,,
5,USGS,11376550,BATTLE C BL COLEMAN FISH HATCHERY NR COTTONWOOD CA,40.39821,-122.1463869,###,,,,
6,USGS,11278300,CHERRY C NR EARLY INTAKE CA,37.89437,-119.962682,,,,,
7,USGS,11274000,SAN JOAQUIN R NR NEWMAN CA,37.35049,-120.97715,,,,,
8,USGS,11186000,KERN R NR KERNVILLE(RIVER ONLY) CA,35.94523,-118.4775862,"vol.frame <- read.csv(paste(inpath,""redo_simp_data_full_vol_90.csv"", sep=""""))",,,,
9,USGS,11376000,COTTONWOOD C NR COTTONWOOD CA,40.3871,-122.2386119,vol.frame[is.na(vol.frame)] <- 0 ,,,,
10,USGS,11292700,MF STANISLAUS R A HELLS HALF ACRE BRIDGE CA,38.24714,-120.03463,"dur.frame<- read.csv(paste(inpath,""simp_data_full_vol_90_duration.csv"", sep=""""))",,,,
11,USGS,11303500,SAN JOAQUIN R NR VERNALIS CA,37.67604,-121.2663293,"nmpks.frame<- read.csv(paste(inpath,""simp_data_full_vol_90_intraannual_frequency.csv"",sep=""""))",,,,
12,USGS,11319500,MOKELUMNE R NR MOKELUMNE HILL CA,38.31269,-120.7202112,"imp.vol.frame<- read.csv(paste(inpath,""redo_simp_data_imp_vol_90.csv"",sep=""""))",,,,
13,USGS,11224500,LOS GATOS C AB NUNEZ CYN NR COALINGA CA,36.21468,-120.4707116,imp.vol.frame[is.na(imp.vol.frame)] <- 0 ,,,,
14,USGS,11453500,PUTAH C NR GUENOC CA,38.77879,-122.5174807,"imp.dur.frame<- read.csv(paste(inpath,""simp_data_imp_vol_90_duration.csv"",sep=""""))",,,,
15,USGS,11215000,NF KINGS R NR CLIFF CAMP CA,36.99383,-118.9812225,"imp.nmpks.frame<- read.csv(paste(inpath,""simp_data_imp_vol_90_intraannual_frequency.csv"",sep=""""))",,,,
16,USGS,11395030,SF FEATHER R BL LITTLE GRASS VALLEY DAM CA,39.72378,-121.0221775,"vol.frame <- vol.frame[,2:length(vol.frame)]",,,,
17,USGS,11444500,SF AMERICAN R NR PLACERVILLE CA,38.77101,-120.8163242,"dur.frame<- dur.frame[,2:length(dur.frame)]",,,,
18,USGS,11323500,MOKELUMNE R BL CAMANCHE DAM CA,38.22611,-121.0233333,"nmpks.frame<- nmpks.frame[,2:length(nmpks.frame)]",,,,
19,USGS,11390500,SACRAMENTO R BL WILKINS SLOUGH NR GRIMES CA,39.00989,-121.82469,"imp.vol.frame<- imp.vol.frame[,2:length(imp.vol.frame)]",,,,
20,USGS,11425500,SACRAMENTO R A VERONA CA,38.77435,-121.5982928,"imp.dur.frame<- imp.dur.frame[,2:length(imp.dur.frame)]",,,,
