"","gauge","yeartype","period","avg","sd","valtype"
"1",11186000,"AN","April",1914.0495835536,2145.86454226819,"vol AF"
"2",11189500,"AN","April",7068.189319427,7345.45670087451,"vol AF"
"3",11192500,"AN","April",NA,NA,"vol AF"
"4",11192501,"AN","April",NA,NA,"vol AF"
"5",11202001,"AN","April",1286.42266607451,1441.90837359585,"vol AF"
"6",11214600,"AN","April",3918.67767935136,3378.45177361842,"vol AF"
"7",11215000,"AN","April",23138.9531290781,12746.6905130222,"vol AF"
"8",11218400,"AN","April",1233.44132023694,1128.58662619633,"vol AF"
"9",11224500,"AN","April",31.73553713664,8.47385641258682,"vol AF"
"10",11230500,"AN","April",11.9008264262402,NA,"vol AF"
"11",11234760,"AN","April",NA,NA,"vol AF"
"12",11237500,"AN","April",912.793386892608,888.582137050531,"vol AF"
"13",11242000,"AN","April",16561.983443184,NA,"vol AF"
"14",11246500,"AN","April",1260.99173341368,1305.73109826327,"vol AF"
"15",11251000,"AN","April",52689.8070738048,46394.1548427126,"vol AF"
"16",11261500,"AN","April",17147.1074091408,4137.4512416282,"vol AF"
"17",11264500,"AN","April",3087.6033005856,3174.70020078533,"vol AF"
"18",11266500,"AN","April",6616.29278696915,7301.88751606506,"vol AF"
"19",11270900,"AN","April",26345.4545010888,20775.9983261921,"vol AF"
"20",11274000,"AN","April",53875.0412315885,30190.2065627378,"vol AF"
"21",11274500,"AN","April",575.86776762528,850.801008867824,"vol AF"
"22",11274630,"AN","April",51.57024784704,27.2441623052435,"vol AF"
"23",11276500,"AN","April",18852.8925302352,10196.3628903854,"vol AF"
"24",11277300,"AN","April",NA,NA,"vol AF"
"25",11278300,"AN","April",4434.04957930992,309.95821166096,"vol AF"
"26",11290000,"AN","April",8813.2231256544,9638.12522144527,"vol AF"
"27",11292000,"AN","April",NA,NA,"vol AF"
"28",11292700,"AN","April",260.231404520448,176.609137389501,"vol AF"
"29",11292900,"AN","April",19.8347107104002,NA,"vol AF"
"30",11294000,"AN","April",1789.58677384584,1103.97509459552,"vol AF"
"31",11294500,"AN","April",10428.390842915,11700.3833114556,"vol AF"
