"","gauge","yeartype","period","avg","sd","valtype"
"1",11186000,"AN","April",396.694214208001,NA,"vol AF"
"2",11189500,"AN","April",8683.63634901312,NA,"vol AF"
"3",11192500,"AN","April",NA,NA,"vol AF"
"4",11192501,"AN","April",NA,NA,"vol AF"
"5",11202001,"AN","April",478.01652812064,NA,"vol AF"
"6",11214600,"AN","April",NA,NA,"vol AF"
"7",11215000,"AN","April",NA,NA,"vol AF"
"8",11218400,"AN","April",867.669420026454,24.2636971119202,"vol AF"
"9",11224500,"AN","April",28.231404911136,8.23638203217341,"vol AF"
"10",11230500,"AN","April",NA,NA,"vol AF"
"11",11234760,"AN","April",NA,NA,"vol AF"
"12",11237500,"AN","April",829.09090769472,1256.53009761797,"vol AF"
"13",11242000,"AN","April",16561.983443184,NA,"vol AF"
"14",11246500,"AN","April",3058.51239154368,NA,"vol AF"
"15",11251000,"AN","April",NA,NA,"vol AF"
"16",11261500,"AN","April",NA,NA,"vol AF"
"17",11264500,"AN","April",337.190082076801,NA,"vol AF"
"18",11266500,"AN","April",1957.0247900928,3018.28862463855,"vol AF"
"19",11270900,"AN","April",1428.0991711488,NA,"vol AF"
"20",11274000,"AN","April",NA,NA,"vol AF"
"21",11274500,"AN","April",120.33057830976,105.14891312683,"vol AF"
"22",11274630,"AN","April",61.48760320224,22.8745042814875,"vol AF"
"23",11276500,"AN","April",NA,NA,"vol AF"
"24",11277300,"AN","April",NA,NA,"vol AF"
"25",11278300,"AN","April",4434.04957930992,309.95821166096,"vol AF"
"26",11290000,"AN","April",7080.99172361281,NA,"vol AF"
"27",11292000,"AN","April",NA,NA,"vol AF"
"28",11292700,"AN","April",357.0247927872,204.76877331448,"vol AF"
"29",11292900,"AN","April",NA,NA,"vol AF"
"30",11294000,"AN","April",1925.95040997984,1725.10678888227,"vol AF"
"31",11294500,"AN","April",766.942147468801,627.959966117407,"vol AF"
"32",11296500,"AN","April",NA,NA,"vol AF"
"33",11298000,"AN","April",773.5537177056,824.6851966364,"vol AF"
"34",11302000,"AN","April",NA,NA,"vol AF"
"35",11303000,"AN","April",NA,NA,"vol AF"
"36",11303500,"AN","April",NA,NA,"vol AF"
"37",11314500,"AN","April",NA,NA,"vol AF"
"38",11315000,"AN","April",782.14875901344,612.164641992001,"vol AF"
"39",11316800,"AN","April",291.57024744288,176.718256422086,"vol AF"
"40",11317000,"AN","April",1192.8595021235,358.205100715891,"vol AF"
"41",11318500,"AN","April",869.421486139201,730.481275721614,"vol AF"
"42",11319500,"AN","April",NA,NA,"vol AF"
"43",11323500,"AN","April",NA,NA,"vol AF"
"44",11325500,"AN","April",NA,NA,"vol AF"
"45",11335000,"AN","April",3639.6694153584,715.288180756062,"vol AF"
"46",11370500,"AN","April",40462.809849216,26928.4962166988,"vol AF"
"47",11372000,"AN","April",3043.70247421324,5000.22191991033,"vol AF"
"48",11374000,"AN","April",14114.3801415206,14062.7161750526,"vol AF"
"49",11376000,"AN","April",12178.5123761856,1544.94444850687,"vol AF"
"50",11376550,"AN","April",5583.4710649776,3907.01360463831,"vol AF"
"51",11377100,"AN","April",53157.024703872,52668.160252463,"vol AF"
"52",11379500,"AN","April",1503.75442485847,2598.23188470371,"vol AF"
"53",11381500,"AN","April",4046.77685268936,4012.43480083455,"vol AF"
"54",11383500,"AN","April",7240.33056631969,4193.97176132637,"vol AF"
"55",11389500,"AN","April",76033.0577232,49136.2007453078,"vol AF"
"56",11390000,"AN","April",8559.61982029629,8832.33060106696,"vol AF"
"57",11390500,"AN","April",36495.867707136,20278.9911581761,"vol AF"
"58",11395030,"AN","April",625.785122913121,598.878535652623,"vol AF"
"59",11395200,"AN","April",415.53718938288,447.405744433693,"vol AF"
"60",11396000,"AN","April",5791.7355274368,7227.55031066629,"vol AF"
"61",11396200,"AN","April",6322.64461745184,8606.93129104044,"vol AF"
"62",11399500,"AN","April",NA,NA,"vol AF"
"63",11400500,"AN","April",NA,NA,"vol AF"
"64",11402000,"AN","April",4019.17354695072,6729.24109042783,"vol AF"
"65",11404500,"AN","April",9671.40494239087,NA,"vol AF"
"66",11407000,"AN","April",NA,NA,"vol AF"
"67",11413000,"AN","April",3851.90081995968,2005.14112463443,"vol AF"
"68",11416500,"AN","April",608.92561880928,NA,"vol AF"
"69",11417500,"AN","April",561.983470128001,452.445939361735,"vol AF"
"70",11418500,"AN","April",1534.54545196128,1954.31221105233,"vol AF"
"71",11421000,"AN","April",5355.371891808,4936.89097306144,"vol AF"
"72",11424000,"AN","April",8306.77684551553,5685.15196204253,"vol AF"
"73",11425500,"AN","April",220363.635992544,NA,"vol AF"
"74",11427000,"AN","April",6058.08735697646,6640.41169797526,"vol AF"
"75",11427500,"AN","April",NA,NA,"vol AF"
"76",11427700,"AN","April",600.99173452512,479.063356906518,"vol AF"
"77",11429500,"AN","April",39.6694214208001,NA,"vol AF"
"78",11430000,"AN","April",47.27272719312,54.2386562534434,"vol AF"
"79",11433300,"AN","April",4442.9751991296,4964.88866384062,"vol AF"
"80",11436000,"AN","April",718.01652771648,806.030272857341,"vol AF"
"81",11439500,"AN","April",3699.1735474896,3121.42517086325,"vol AF"
"82",11439501,"AN","April",3342.1487547024,3186.73501716335,"vol AF"
"83",11441500,"AN","April",641.322312969601,161.702572836863,"vol AF"
"84",11441900,"AN","April",NA,NA,"vol AF"
"85",11443500,"AN","April",NA,NA,"vol AF"
"86",11444500,"AN","April",3018.1818130992,3783.68964211358,"vol AF"
"87",11446500,"AN","April",39.6694214208036,NA,"vol AF"
"88",11447650,"AN","April",256264.462378368,NA,"vol AF"
"89",11449500,"AN","April",1093.55371716672,2168.40934135086,"vol AF"
"90",11451000,"AN","April",17940.0991433426,20426.6277970017,"vol AF"
"91",11452500,"AN","April",17824.7933584128,13515.8721514044,"vol AF"
"92",11453500,"AN","April",1895.53718689056,3069.6073804883,"vol AF"
"93",11454000,"AN","April",4430.41321567968,6385.89356812492,"vol AF"
"94",11186000,"AN","December",NA,NA,"vol AF"
"95",11189500,"AN","December",NA,NA,"vol AF"
"96",11192500,"AN","December",NA,NA,"vol AF"
"97",11192501,"AN","December",NA,NA,"vol AF"
"98",11202001,"AN","December",NA,NA,"vol AF"
"99",11214600,"AN","December",NA,NA,"vol AF"
"100",11215000,"AN","December",NA,NA,"vol AF"
"101",11218400,"AN","December",NA,NA,"vol AF"
"102",11224500,"AN","December",7.140495855744,NA,"vol AF"
"103",11230500,"AN","December",NA,NA,"vol AF"
"104",11234760,"AN","December",NA,NA,"vol AF"
"105",11237500,"AN","December",NA,NA,"vol AF"
"106",11242000,"AN","December",NA,NA,"vol AF"
"107",11246500,"AN","December",533.55371810976,NA,"vol AF"
"108",11251000,"AN","December",NA,NA,"vol AF"
"109",11261500,"AN","December",NA,NA,"vol AF"
"110",11264500,"AN","December",NA,NA,"vol AF"
"111",11266500,"AN","December",NA,NA,"vol AF"
"112",11270900,"AN","December",NA,NA,"vol AF"
"113",11274000,"AN","December",NA,NA,"vol AF"
"114",11274500,"AN","December",NA,NA,"vol AF"
"115",11274630,"AN","December",NA,NA,"vol AF"
"116",11276500,"AN","December",NA,NA,"vol AF"
"117",11277300,"AN","December",NA,NA,"vol AF"
"118",11278300,"AN","December",NA,NA,"vol AF"
"119",11290000,"AN","December",NA,NA,"vol AF"
"120",11292000,"AN","December",NA,NA,"vol AF"
"121",11292700,"AN","December",NA,NA,"vol AF"
"122",11292900,"AN","December",NA,NA,"vol AF"
"123",11294000,"AN","December",1652.23140217632,1284.71367367167,"vol AF"
"124",11294500,"AN","December",NA,NA,"vol AF"
"125",11296500,"AN","December",NA,NA,"vol AF"
"126",11298000,"AN","December",NA,NA,"vol AF"
"127",11302000,"AN","December",NA,NA,"vol AF"
"128",11303000,"AN","December",NA,NA,"vol AF"
