"","gauge","yeartype","period","avg","sd","valtype"
"1",11186000,"all","April",6.7,8.61587681744193,"duration_days"
"2",11189500,"all","April",19.6153846153846,11.4567190004997,"duration_days"
"3",11192500,"all","April",10.25,10.5,"duration_days"
"4",11192501,"all","April",10.25,10.5,"duration_days"
"5",11202001,"all","April",12.4166666666667,10.3437142382427,"duration_days"
"6",11214600,"all","April",NA,NA,"duration_days"
"7",11215000,"all","April",NA,NA,"duration_days"
"8",11218400,"all","April",10.0666666666667,9.19212913830295,"duration_days"
"9",11224500,"all","April",18.0909090909091,12.3000369548595,"duration_days"
"10",11230500,"all","April",1.5,0.577350269189626,"duration_days"
"11",11234760,"all","April",13.8333333333333,11.6518954109049,"duration_days"
"12",11237500,"all","April",10.4285714285714,6.46197669890126,"duration_days"
"13",11242000,"all","April",9.33333333333333,7.21110255092798,"duration_days"
"14",11246500,"all","April",18.6,10.813571719526,"duration_days"
"15",11251000,"all","April",28,2.82842712474619,"duration_days"
"16",11261500,"all","April",30,0,"duration_days"
"17",11264500,"all","April",4,2.3094010767585,"duration_days"
"18",11266500,"all","April",6.11111111111111,3.02711061786821,"duration_days"
"19",11270900,"all","April",20.8333333333333,10.5719755328258,"duration_days"
"20",11274000,"all","April",24.2,12.4177292610203,"duration_days"
"21",11274500,"all","April",13.8181818181818,10.768641342511,"duration_days"
"22",11274630,"all","April",16.25,12.6930546506204,"duration_days"
"23",11276500,"all","April",6,NA,"duration_days"
"24",11277300,"all","April",6,NA,"duration_days"
"25",11278300,"all","April",12.5,10.6472360903493,"duration_days"
"26",11290000,"all","April",22.7142857142857,12.1204274637804,"duration_days"
"27",11292000,"all","April",3.5,3.53553390593274,"duration_days"
"28",11292700,"all","April",5.55555555555556,5.2228132053308,"duration_days"
"29",11292900,"all","April",4,2.64575131106459,"duration_days"
"30",11294000,"all","April",10,6.29285308902091,"duration_days"
"31",11294500,"all","April",8.21428571428571,9.23353896175468,"duration_days"
"32",11296500,"all","April",2.625,1.68501801601221,"duration_days"
"33",11298000,"all","April",8,9.16515138991168,"duration_days"
"34",11302000,"all","April",18.3333333333333,9.20144916122817,"duration_days"
"35",11303000,"all","April",15.5,10.4083299973307,"duration_days"
"36",11303500,"all","April",25.6,9.83869910099907,"duration_days"
"37",11314500,"all","April",11.5,9.09395403551173,"duration_days"
"38",11315000,"all","April",7.19047619047619,4.44543639723984,"duration_days"
"39",11316800,"all","April",19.6363636363636,10.0426363796836,"duration_days"
"40",11317000,"all","April",18.1666666666667,10.8446328018085,"duration_days"
"41",11318500,"all","April",15.7692307692308,11.358945418728,"duration_days"
"42",11319500,"all","April",11.7,12.3382872933537,"duration_days"
"43",11323500,"all","April",29,1.73205080756888,"duration_days"
"44",11325500,"all","April",20,14.7986485869487,"duration_days"
"45",11335000,"all","April",17.0909090909091,10.6438202301105,"duration_days"
"46",11370500,"all","April",13.2,8.75341203315725,"duration_days"
"47",11372000,"all","April",4.33333333333333,3.77391365063169,"duration_days"
"48",11374000,"all","April",5.44,6.16495471732491,"duration_days"
"49",11376000,"all","April",11.9333333333333,8.18069737392904,"duration_days"
"50",11376550,"all","April",11.6666666666667,10,"duration_days"
"51",11377100,"all","April",12.6,8.83427667918797,"duration_days"
"52",11379500,"all","April",10.35,8.52411440067468,"duration_days"
"53",11381500,"all","April",8.75,7.91982854678852,"duration_days"
"54",11383500,"all","April",13.4736842105263,8.89049693057225,"duration_days"
"55",11389500,"all","April",13.3333333333333,9.7359066751833,"duration_days"
"56",11390000,"all","April",13.2222222222222,9.81328964184647,"duration_days"
"57",11390500,"all","April",13.9166666666667,9.26830702725774,"duration_days"
"58",11395030,"all","April",12.1818181818182,8.53016039495368,"duration_days"
"59",11395200,"all","April",4.26315789473684,4.5685167209106,"duration_days"
"60",11396000,"all","April",14.6923076923077,10.9345371444841,"duration_days"
"61",11396200,"all","April",16.7142857142857,11.0204604917648,"duration_days"
"62",11399500,"all","April",NA,NA,"duration_days"
"63",11400500,"all","April",1,NA,"duration_days"
"64",11402000,"all","April",11.5833333333333,9.96042895298873,"duration_days"
"65",11404500,"all","April",12.1538461538462,9.59901170126517,"duration_days"
"66",11407000,"all","April",5,2.16024689946929,"duration_days"
"67",11413000,"all","April",9.12,7.65027232630752,"duration_days"
"68",11416500,"all","April",17.9090909090909,10.4637903787733,"duration_days"
"69",11417500,"all","April",10.625,9.5,"duration_days"
"70",11418500,"all","April",9.33333333333333,8.67947771086102,"duration_days"
"71",11421000,"all","April",12.3076923076923,9.34865957757773,"duration_days"
"72",11424000,"all","April",16.3333333333333,11.3284303119776,"duration_days"
"73",11425500,"all","April",16.7,10.122033173012,"duration_days"
"74",11427000,"all","April",9.42857142857143,8.59124692984225,"duration_days"
"75",11427500,"all","April",8.66666666666667,10.0166528008778,"duration_days"
"76",11427700,"all","April",9.625,6.25145144436796,"duration_days"
"77",11429500,"all","April",8.25,9.49812011475353,"duration_days"
"78",11430000,"all","April",7.88,9.03382532485547,"duration_days"
"79",11433300,"all","April",13.8888888888889,11.8614000209721,"duration_days"
"80",11436000,"all","April",8.07407407407407,5.10599892981041,"duration_days"
"81",11439500,"all","April",9.53846153846154,6.28796163621102,"duration_days"
"82",11439501,"all","April",8.8,6.09644705272396,"duration_days"
"83",11441500,"all","April",9.85714285714286,11.610750355146,"duration_days"
"84",11441900,"all","April",19.8888888888889,10.6000524107719,"duration_days"
"85",11443500,"all","April",6.4,5.85662018573853,"duration_days"
"86",11444500,"all","April",12.3684210526316,10.8433826534168,"duration_days"
"87",11446500,"all","April",17,13.1475147026783,"duration_days"
"88",11447650,"all","April",17.4,10.1456066025316,"duration_days"
"89",11449500,"all","April",6.5,6.91679877278195,"duration_days"
"90",11451000,"all","April",13.9444444444444,9.71034755676658,"duration_days"
"91",11452500,"all","April",14.375,9.72196825065103,"duration_days"
"92",11453500,"all","April",6.18181818181818,6.52408126586697,"duration_days"
"93",11454000,"all","April",16,11.5643129209363,"duration_days"
"94",11186000,"all","December",2,0,"duration_days"
"95",11189500,"all","December",4.5,3.53553390593274,"duration_days"
"96",11192500,"all","December",4,4.24264068711928,"duration_days"
"97",11192501,"all","December",7,NA,"duration_days"
"98",11202001,"all","December",4.6,3.78153408023781,"duration_days"
"99",11214600,"all","December",NA,NA,"duration_days"
"100",11215000,"all","December",NA,NA,"duration_days"
"101",11218400,"all","December",2.8,2.68328157299975,"duration_days"
"102",11224500,"all","December",3.625,3.11390888939105,"duration_days"
"103",11230500,"all","December",NA,NA,"duration_days"
"104",11234760,"all","December",14,NA,"duration_days"
"105",11237500,"all","December",1,NA,"duration_days"
"106",11242000,"all","December",2.5,2.12132034355964,"duration_days"
"107",11246500,"all","December",3.66666666666667,5.07444578254611,"duration_days"
"108",11251000,"all","December",3.5,0.707106781186548,"duration_days"
"109",11261500,"all","December",1,NA,"duration_days"
"110",11264500,"all","December",1,NA,"duration_days"
"111",11266500,"all","December",1,NA,"duration_days"
"112",11270900,"all","December",4.5,4.94974746830583,"duration_days"
"113",11274000,"all","December",9,NA,"duration_days"
"114",11274500,"all","December",6.5,6.88684045325369,"duration_days"
"115",11274630,"all","December",4.8,4.10419839243237,"duration_days"
"116",11276500,"all","December",3,NA,"duration_days"
"117",11277300,"all","December",7.66666666666667,1.52752523165195,"duration_days"
"118",11278300,"all","December",10.5,3.1091263510296,"duration_days"
"119",11290000,"all","December",17.3333333333333,12.4230967690561,"duration_days"
"120",11292000,"all","December",NA,NA,"duration_days"
"121",11292700,"all","December",3.25,1.70782512765993,"duration_days"
"122",11292900,"all","December",NA,NA,"duration_days"
"123",11294000,"all","December",7.14285714285714,3.8483144114695,"duration_days"
